instrument,strategy,entry_date,exit_date,direction,entry_price,exit_price,exit_reason,pnl,pnl_pct,hold_bars
NIFTY,Strategy2_VPIN,2026-05-29 13:50:00,2026-05-29 14:20:00,Short,186.0501834245788,182.30342218963779,Time Stop,-337.5830048732151,-2.419297121234783,6
NIFTY,Strategy2_VPIN,2026-05-29 14:20:00,2026-05-29 14:50:00,Long,208.94396808154852,226.62538761880933,Time Stop,1266.5058442880445,8.08194883324727,6
NIFTY,Strategy2_VPIN,2026-05-29 14:50:00,2026-05-29 15:20:00,Short,186.3314372449331,256.4242046259078,Time Stop,5197.033549688914,37.18845391152756,6
NIFTY,Strategy2_VPIN,2026-05-29 15:20:00,2026-06-01 09:35:00,Short,185.29939197635758,204.28137033497478,Time Stop,1366.1172425922798,9.829981832979307,6
NIFTY,Strategy2_VPIN,2026-06-01 09:35:00,2026-06-01 10:05:00,Short,184.99860664070002,208.59266759630736,Time Stop,1711.8429643298857,12.33769987363265,6
NIFTY,Strategy2_VPIN,2026-06-01 10:05:00,2026-06-01 10:35:00,Long,207.2774684620581,197.09021986807602,Time Stop,-822.2401905235117,-5.289143398777225,6
NIFTY,Strategy2_VPIN,2026-06-01 10:35:00,2026-06-01 11:05:00,Long,207.1038016596067,243.4669849028487,Time Stop,2666.963057847841,17.169896039096564,6
NIFTY,Strategy2_VPIN,2026-06-01 11:05:00,2026-06-01 11:35:00,Long,207.68444521123638,183.4399485926897,Time Stop,-1875.9378441121785,-12.043513688626078,6
NIFTY,Strategy2_VPIN,2026-06-01 11:35:00,2026-06-01 12:05:00,Long,207.261680570924,177.51437175830688,Time Stop,-2288.3630833010993,-14.72124885473323,6
NIFTY,Strategy2_VPIN,2026-06-01 12:05:00,2026-06-01 12:35:00,Long,206.73804884837955,209.0977466512395,Time Stop,118.26472441701378,0.7627347752436768,6
NIFTY,Strategy2_VPIN,2026-06-01 12:35:00,2026-06-01 13:05:00,Long,206.77751857621115,188.98723517680446,Time Stop,-1392.0806688743874,-8.976350868699901,6
NIFTY,Strategy2_VPIN,2026-06-01 13:05:00,2026-06-01 13:35:00,Short,183.9087480868293,180.58652841162257,Time Stop,-305.5687630829347,-2.2153650747029956,6
NIFTY,Strategy2_VPIN,2026-06-01 13:35:00,2026-06-01 14:05:00,Long,206.531929158602,177.92927200522172,Time Stop,-2202.500040555893,-14.218947804850249,6
NIFTY,Strategy2_VPIN,2026-06-01 14:05:00,2026-06-01 14:35:00,Short,183.51577399894632,182.51492321326623,Time Stop,-131.53519030055602,-0.9556685505142554,6
NIFTY,Strategy2_VPIN,2026-06-01 14:35:00,2026-06-01 15:05:00,Long,206.07583452590006,203.47330155272903,Time Stop,-253.6196841113661,-1.6409472735759039,6
NIFTY,Strategy2_VPIN,2026-06-01 15:05:00,2026-06-02 09:20:00,Long,206.01531427655937,142.99843677549325,Time Stop,-4781.971431377301,-30.948970618484413,6
NIFTY,Strategy2_VPIN,2026-06-02 09:20:00,2026-06-02 09:50:00,Long,204.83297665178543,223.67900411815936,Time Stop,1354.169020843397,8.814785216578185,6
NIFTY,Strategy2_VPIN,2026-06-02 09:50:00,2026-06-02 10:20:00,Long,205.15487420986574,222.84435121594106,Time Stop,1267.4508103114879,8.23735931333472,6
NIFTY,Strategy2_VPIN,2026-06-02 10:20:00,2026-06-02 10:50:00,Long,205.50571623502037,181.3195244340277,Time Stop,-1871.3715209045577,-12.141569945525152,6
NIFTY,Strategy2_VPIN,2026-06-02 10:50:00,2026-06-02 11:20:00,Short,182.6735750591106,154.17115693676715,Time Stop,-2192.8393721155726,-16.005521480276137,6
NIFTY,Strategy2_VPIN,2026-06-02 11:20:00,2026-06-02 11:50:00,Long,205.6372819944536,176.23315479075973,Time Stop,-2262.4937099323743,-14.669802336675492,6
NIFTY,Strategy2_VPIN,2026-06-02 11:50:00,2026-06-02 12:20:00,Short,182.66888749543796,187.67876715476632,Time Stop,319.075329990368,2.3289886917996125,6
NIFTY,Strategy2_VPIN,2026-06-02 12:20:00,2026-06-02 12:50:00,Short,182.6149805132045,115.9826981869628,Time Stop,-5050.8580700096345,-36.87801191202141,6
NIFTY,Strategy2_VPIN,2026-06-02 12:50:00,2026-06-02 13:20:00,Long,206.43544760168334,235.83624494332253,Time Stop,2145.157574458414,13.855227542106302,6
NIFTY,Strategy2_VPIN,2026-06-02 13:20:00,2026-06-02 13:50:00,Long,206.90908433564437,222.3495277227721,Time Stop,1098.716616491952,7.08018931773682,6
NIFTY,Strategy2_VPIN,2026-06-02 13:50:00,2026-06-02 14:20:00,Short,184.5251627097732,179.27541980143724,Time Stop,-450.1017443382026,-3.252324237543229,6
NIFTY,Strategy2_VPIN,2026-06-02 14:20:00,2026-06-02 14:50:00,Long,207.259926360799,173.8869597046014,Time Stop,-2560.1241090877634,-16.46965176555541,6
NIFTY,Strategy2_VPIN,2026-06-02 14:50:00,2026-06-02 15:20:00,Long,206.66875754841203,234.65519348434464,Time Stop,2039.1231173984713,13.155499919048369,6
NIFTY,Strategy2_VPIN,2026-06-02 15:20:00,2026-06-03 09:35:00,Short,184.48766220039215,351.43041346918835,Time Stop,12456.590031754584,90.02654438195167,6
NIFTY,Strategy2_VPIN,2026-06-03 09:35:00,2026-06-03 10:05:00,Long,204.6417677480731,203.2859227054323,Time Stop,-160.0451242684673,-1.0427661047539616,6
NIFTY,Strategy2_VPIN,2026-06-03 10:05:00,2026-06-03 10:35:00,Short,182.25950693470077,199.93047292990377,Time Stop,1268.1239005463183,9.27705717979845,6
NIFTY,Strategy2_VPIN,2026-06-03 10:35:00,2026-06-03 11:05:00,Long,204.30408229886052,187.01393789419853,Time Stop,-1354.3701412583366,-8.83891714101685,6
NIFTY,Strategy2_VPIN,2026-06-03 11:05:00,2026-06-03 11:35:00,Short,181.71340576684815,178.67458642221027,Time Stop,-284.12891049634914,-2.0848134221563357,6
NIFTY,Strategy2_VPIN,2026-06-03 11:35:00,2026-06-03 12:05:00,Short,181.7634064460217,191.9718137407126,Time Stop,708.8124621934155,5.199524488474062,6
NIFTY,Strategy2_VPIN,2026-06-03 12:05:00,2026-06-03 12:35:00,Long,203.87780923829632,301.58140700279364,Time Stop,7265.02416760645,47.51227672267133,6
NIFTY,Strategy2_VPIN,2026-06-03 12:35:00,2026-06-03 13:05:00,Long,205.33117232750556,185.03658278056173,Time Stop,-1579.66076500065,-10.257645390417213,6
NIFTY,Strategy2_VPIN,2026-06-03 13:05:00,2026-06-03 13:35:00,Short,182.58060504627065,161.04358285296985,Time Stop,-1670.7397529530258,-12.200929027334654,6
NIFTY,Strategy2_VPIN,2026-06-03 13:35:00,2026-06-03 14:05:00,Short,182.94779753395414,149.42816626380773,Time Stop,-2568.9292636318805,-18.722493871729363,6
