date,f,atm_strike,atm_iv,ivp_252
2020-12-04,13311.6,13300.0,0.13525401835565662,12.3015873015873
2020-12-07,13387.6,13400.0,0.1668637464197443,26.190476190476193
2020-12-08,13428.15,13450.0,0.17477850595639569,28.968253968253972
2020-12-09,13567.7,13550.0,0.17804003213897837,29.365079365079367
2020-12-10,13524.35,13500.0,0.17804003213897837,29.166666666666668
2020-12-11,13518.35,13500.0,0.15225908116986375,20.238095238095237
2020-12-14,13571.6,13550.0,0.1851579473543445,34.12698412698413
2020-12-15,13584.95,13600.0,0.18187332356963787,30.952380952380953
2020-12-16,13699.45,13700.0,0.16895434525122016,25.396825396825395
2020-12-17,13754.4,13750.0,0.16895434525122016,25.198412698412696
2020-12-18,13774.05,13750.0,0.1360539676038327,11.11111111111111
2020-12-21,13329.75,13350.0,0.27582592320441324,69.84126984126983
2020-12-22,13487.5,13500.0,0.2069792560781029,48.01587301587302
2020-12-23,13612.45,13600.0,0.16317882604933492,19.444444444444446
2020-12-24,13763.75,13750.0,0.16317882604933492,19.246031746031747
2020-12-28,13890.55,13900.0,0.17443890344361712,26.190476190476193
2020-12-29,13935.05,13950.0,0.18072937854058496,29.365079365079367
2020-12-30,13977.45,14000.0,0.1663894480504163,20.238095238095237
2020-12-31,13981.75,14000.0,0.1663894480504163,20.03968253968254
2021-01-01,14053.85,14050.0,0.14546515502699475,12.698412698412698
2021-01-04,14165.3,14150.0,0.15883215505272685,16.26984126984127
2021-01-05,14217.95,14200.0,0.17483927872558236,26.190476190476193
2021-01-06,14189.45,14200.0,0.1925375702316082,40.476190476190474
2021-01-07,14191.1,14200.0,0.1925375702316082,40.27777777777778
2021-01-08,14370.9,14350.0,0.14927340864460417,12.3015873015873
2021-01-11,14489.25,14500.0,0.18198417341102768,29.365079365079367
2021-01-12,14597.95,14600.0,0.1792381536375915,26.984126984126984
2021-01-13,14606.15,14600.0,0.15869157718835278,14.682539682539684
2021-01-14,14628.1,14650.0,0.15869157718835278,14.484126984126986
2021-01-15,14458.5,14450.0,0.19361115607351337,41.269841269841265
2021-01-18,14287.25,14300.0,0.22806943325066104,58.333333333333336
2021-01-19,14570.0,14550.0,0.18039411548063095,26.984126984126984
2021-01-20,14645.15,14650.0,0.14529564790418736,9.920634920634921
2021-01-21,14598.65,14600.0,0.14529564790418736,9.722222222222223
2021-01-22,14380.15,14400.0,0.1905190200981512,36.507936507936506
2021-01-25,14253.15,14250.0,0.19293105740379374,39.682539682539684
2021-01-27,13982.55,14000.0,0.22141362519729624,54.36507936507936
2021-01-28,13817.55,13800.0,0.22141362519729624,54.166666666666664
2021-01-29,13709.1,13700.0,0.3096972871552872,76.98412698412699
2021-02-01,14351.25,14350.0,0.25619476755551124,64.28571428571429
2021-02-02,14696.0,14700.0,0.2371868187009649,59.12698412698413
2021-02-03,14820.55,14800.0,0.22038419986752905,51.19047619047619
2021-02-04,14895.35,14900.0,0.22038419986752905,50.99206349206349
2021-02-05,14930.65,14950.0,0.20043936141335045,42.46031746031746
2021-02-08,15126.5,15150.0,0.21889289561989,50.0
2021-02-09,15105.75,15100.0,0.23663264483477559,59.12698412698413
2021-02-10,15119.55,15100.0,0.21794787110167707,48.41269841269841
2021-02-11,15184.95,15200.0,0.21794787110167707,48.214285714285715
2021-02-12,15161.45,15150.0,0.16125092346641612,9.523809523809524
2021-02-15,15332.2,15350.0,0.170602767608252,17.063492063492063
2021-02-16,15330.25,15350.0,0.1777411353205317,19.444444444444446
2021-02-17,15207.05,15200.0,0.19086845765757599,32.53968253968254
2021-02-18,15116.1,15100.0,0.19086845765757599,32.34126984126984
2021-02-19,14987.0,15000.0,0.17237076093323964,16.26984126984127
2021-02-22,14672.65,14650.0,0.22947111298068917,57.14285714285714
2021-02-23,14711.55,14700.0,0.2192115569392334,49.2063492063492
2021-02-24,14993.75,15000.0,0.21232174179148855,44.84126984126984
2021-02-25,15097.35,15100.0,0.21232174179148855,44.642857142857146
2021-02-26,14578.45,14600.0,0.275922207401445,69.44444444444444
2021-03-01,14797.75,14800.0,0.26997513105149035,66.66666666666666
2021-03-02,14958.15,14950.0,0.21903999918346806,48.01587301587302
2021-03-03,15298.85,15300.0,0.19605395032588013,36.11111111111111
2021-03-04,15106.25,15100.0,0.19605395032588013,36.30952380952381
2021-03-05,14953.05,14950.0,0.25907029339309173,65.47619047619048
2021-03-08,14969.0,14950.0,0.2938222809958022,73.01587301587301
2021-03-09,15134.75,15150.0,0.23308160055567717,57.936507936507944
2021-03-10,15209.3,15200.0,0.23308160055567717,58.13492063492064
2021-03-12,15051.4,15050.0,0.21264892415156655,44.44444444444444
2021-03-15,14968.75,14950.0,0.244962311448419,62.698412698412696
2021-03-16,14959.7,14950.0,0.24736940768593293,64.28571428571429
2021-03-17,14771.3,14750.0,0.2511620091126091,64.68253968253968
2021-03-18,14577.05,14600.0,0.2511620091126091,64.88095238095238
2021-03-19,14756.45,14750.0,0.22065938111519862,51.98412698412699
2021-03-22,14741.6,14750.0,0.2472327869404705,64.68253968253968
2021-03-23,14832.9,14850.0,0.22176559538246787,54.36507936507936
2021-03-24,14555.3,14550.0,0.25704302068681284,68.65079365079364
2021-03-25,14324.9,14300.0,0.25704302068681284,68.84920634920636
2021-03-26,14608.5,14600.0,0.1879993922902839,26.58730158730159
2021-03-31,14752.3,14750.0,0.25633682150703946,68.65079365079364
2021-04-01,14953.35,14950.0,0.25633682150703946,68.84920634920636
2021-04-05,14698.45,14700.0,0.23943516549219393,62.698412698412696
2021-04-06,14751.45,14750.0,0.23148400444933803,59.12698412698413
2021-04-07,14888.0,14900.0,0.22363931332840048,56.74603174603175
2021-04-08,14924.4,14900.0,0.22363931332840048,56.94444444444444
2021-04-09,14889.4,14900.0,0.17017072025713248,13.88888888888889
2021-04-12,14343.25,14350.0,0.26431481303829873,74.20634920634922
2021-04-13,14541.15,14550.0,0.17264701379128208,15.476190476190476
2021-04-15,14592.0,14600.0,0.17264701379128208,15.674603174603174
2021-04-16,14645.7,14650.0,0.1840436503772845,24.6031746031746
2021-04-19,14374.15,14350.0,0.24270796885343365,67.06349206349206
